"App name","Date","Time","Duration"
"Screen on (locked)","4/19/24","1:50:48 PM","0:00:43"
"Screen off (locked)","4/19/24","1:50:47 PM","0:00:02"
"Screen on (locked)","4/19/24","1:50:21 PM","0:00:26"
"Screen off (locked)","4/19/24","1:49:58 PM","0:00:23"
"Screen on (locked)","4/19/24","1:49:47 PM","0:00:11"
"Screen off (locked)","4/19/24","1:49:35 PM","0:00:12"
"Screen on (locked)","4/19/24","1:49:12 PM","0:00:23"
"Screen off (locked)","4/19/24","1:48:01 PM","0:01:11"
"GPay","4/19/24","1:47:29 PM","0:00:29"
"Screen on (unlocked)","4/19/24","1:47:23 PM","0:00:00"
"Screen off","4/19/24","1:47:23 PM","0:00:01"
"Screen off (locked)","4/19/24","1:45:17 PM","0:02:06"
"GPay","4/19/24","1:44:47 PM","0:00:26"
"Screen on (unlocked)","4/19/24","1:44:44 PM","0:00:00"
"Screen off","4/19/24","1:44:42 PM","0:00:02"
"Screen off (locked)","4/19/24","1:39:21 PM","0:05:21"
"Contacts","4/19/24","1:39:20 PM","0:00:01"
"Truecaller","4/19/24","1:39:18 PM","0:00:02"
"Contacts","4/19/24","1:39:17 PM","0:00:01"
"Phone","4/19/24","1:39:16 PM","0:00:01"
"Screen on (unlocked)","4/19/24","1:39:16 PM","0:00:00"
"Screen off","4/19/24","1:39:11 PM","0:00:05"
"Phone","4/19/24","1:39:01 PM","0:00:09"
"Screen on (unlocked)","4/19/24","1:39:01 PM","0:00:00"
"Screen off","4/19/24","1:38:32 PM","0:00:29"
"Phone","4/19/24","1:38:30 PM","0:00:02"
"Screen on (unlocked)","4/19/24","1:38:30 PM","0:00:00"
"Screen off","4/19/24","1:38:15 PM","0:00:15"
"Phone","4/19/24","1:38:07 PM","0:00:08"
"Contacts","4/19/24","1:38:04 PM","0:00:03"
"Gmail","4/19/24","1:37:46 PM","0:00:18"
"Chrome","4/19/24","1:35:59 PM","0:01:46"
"Gmail","4/19/24","1:34:23 PM","0:01:24"
"Chrome","4/19/24","1:30:46 PM","0:03:34"
"WhatsApp","4/19/24","1:30:16 PM","0:00:30"
"Chrome","4/19/24","1:28:29 PM","0:01:46"
"WhatsApp","4/19/24","1:27:56 PM","0:00:28"
"Screen on (unlocked)","4/19/24","1:27:53 PM","0:00:00"
"Screen off","4/19/24","1:27:53 PM","0:00:00"
"Screen off (locked)","4/19/24","1:25:03 PM","0:02:50"
"WhatsApp","4/19/24","1:24:54 PM","0:00:07"
"Screen on (unlocked)","4/19/24","1:24:47 PM","0:00:00"
"Screen on (locked)","4/19/24","1:24:46 PM","0:00:01"
"Screen off (locked)","4/19/24","1:24:43 PM","0:00:03"
"Screen on (locked)","4/19/24","1:24:28 PM","0:00:15"
"Screen off (locked)","4/19/24","1:23:27 PM","0:01:01"
"Screen on (locked)","4/19/24","1:23:16 PM","0:00:10"
"Screen off (locked)","4/19/24","1:16:19 PM","0:06:58"
"Clash of Clans","4/19/24","1:09:19 PM","0:06:55"
"WhatsApp","4/19/24","1:08:34 PM","0:00:45"
"Chess","4/19/24","12:44:12 PM","0:24:20"
"Chess","4/19/24","12:44:03 PM","0:00:07"
"Chess","4/19/24","12:42:51 PM","0:01:09"
"Genshin Impact","4/19/24","11:50:47 AM","0:15:40"
"HoYoLAB","4/19/24","11:50:31 AM","0:00:06"
